algo.id,algo.desc,algo.representation,algo.operator.unary,algo.operator.binary,ref.id,ref.year,inst.id,inst.opt.bound.lower,system.cpu.name,system.cpu.n,system.cpu.cores,system.cpu.threads,system.cpu.mhz,system.runs.are.parallel,system.memory.mb,system.os.name,system.vm.name,system.compiler.name,system.programming.language.name,system.external.tools.list,notes,n.runs,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,total.fes.min,total.fes.mean,total.fes.med,total.fes.mode,total.fes.max,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd,budget.fes,budget.time
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la08,863,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la09,951,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la10,958,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la11,1222,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la12,1039,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la13,1150,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la14,1292,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la15,1207,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la16,945,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la17,784,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la18,848,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la19,842,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la20,902,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la21,1046,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la22,927,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la23,1032,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la24,935,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la25,977,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la26,1218,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la27,1235,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACA,ACO+LS,NA,NA,NA,N2015SJSSPUAACO,2015,la28,1216,Intel Core 2 Duo,1,2,2,2000,FALSE,2048,Microsoft Windows,NA,Visual C++,C++,NA,NA,NA,1227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
