inst.id,best.f.min,total.time.mean
ft06,55,7
ft10,1003,8.2
ft20,1256,9.6
la01,678,7.2
la02,690,7.21
la03,673,7.2
la04,637,7.23
la05,764,7.4
la06,994,7.75
la07,947,7.94
la08,872,7.5
la09,968,7.38
la10,966,7.67
swv11,3345,32.45
swv12,3371,31.76
swv13,3843,34
swv14,3585,33.69
swv15,4355,36.22
swv16,3679,33.12
swv17,3384,30.98
swv18,3273,33.54
swv19,3299,36.39
swv20,3412,34.32
abz7,753,15.53
abz8,834,15.89
abz9,785,16.43
