inst.id,best.f.min,best.f.mean,best.f.sd,n.runs,budget.fes
ft06,55,55,0,30,20000000
ft10,930,941.97,8.19,30,20000000
ft20,1173,1181.93,10.96,30,20000000
la11,1222,1222,0,30,20000000
la20,907,907,0,30,20000000
la21,1052,1064,6.86,30,20000000
la31,1784,1784,0,30,20000000
la36,1296,1312.9,11.65,30,20000000
orb03,1005,1035.3,12.48,30,20000000
orb05,890,901.77,7.85,30,20000000
