inst.id,n.runs,budget.time,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd
ta44,30,1800000,1990,1996.46666666667,1997,1997,2001,2.59619527097972,99000,924300,948000,948000,1717000,529576.157787104,1800000,1800000,1800000,1800000,1800000,0,1,1192000,1192000,1192000,1192000,1192000,0
ta44,30,3600000,1983,1987.93333333333,1987,1987,1995,3.6001277116555,1192000,2974900,3015000,2840000,3533000,450899.0520864,3600000,3600000,3600000,3600000,3600000,0,7,2488000,2488000,2842000,2842000,3252000,282035.712024458
ta44,30,3855000,1983,1987.93333333333,1987,1987,1995,3.6001277116555,2488000,3063666.66666667,3037000,2840000,3855000,335047.43187972,3855000,3855000,3855000,3855000,3855000,0,7,2488000,2488000,2842000,2842000,3252000,282035.712024458
ta44,30,NA,1983,1987.6,1987,1987.5,1992,3.40992466293561,3855000,4033300,4029500,3982000,4223000,101616.978624773,3855000,4033300,4029500,3982000,4223000,101616.978624773,7,3908000,3908000,4056000,4056000,4202000,116359.868716061
ta45,30,180000,2002,2012,2013,2013,2015,2.55963359446836,8000,69666.6666666667,49500,23000,178000,50089.1159857098,180000,180000,180000,180000,180000,0,1,23000,23000,23000,23000,23000,0
ta45,30,300000,2002,2011.83333333333,2013,2013,2013,2.47864442002469,8000,83133.3333333333,61500,23000,283000,70039.2664908386,300000,3e+05,300000,300000,300000,0,1,23000,23000,23000,23000,23000,0
ta45,30,1800000,2001,2010.83333333333,2012,2013,2013,3.14130802245721,8000,285833.333333333,81500,23000,1652000,441514.016127214,1800000,1800000,1800000,1800000,1800000,0,1,1001000,1001000,1001000,1001000,1001000,0
ta45,30,3600000,2000,2007.56666666667,2007,2013,2013,5.00126420799391,8000,1788400,2500000,2500000,3469000,1539419.98929736,3600000,3600000,3600000,3600000,3600000,0,4,2294000,2294000,2768000,2768000,3416000,520713.93298048
ta45,30,3765000,2000,2007.56666666667,2007,2013,2013,5.00126420799391,10000,1913633.33333333,2606500,2606500,3765000,1542403.2408781,3765000,3765000,3765000,3765000,3765000,0,4,2294000,2294000,2768000,2768000,3416000,520713.93298048
ta45,30,NA,2000,2007.1,2005,2013,2013,5.1013858833688,3765000,3908233.33333333,3878500,3870000,4135000,111242.41418022,3765000,3908233.33333333,3878500,3870000,4135000,111242.41418022,4,3836000,3836000,3950000,3950000,4031000,99419.5654788332
ta46,30,180000,2030,2039.9,2040,2038.5,2057,6.35365764872812,35000,115066.666666667,113500,98000,176000,43495.4879414448,180000,180000,180000,180000,180000,0,1,161000,161000,161000,161000,161000,0
ta46,30,300000,2030,2036.46666666667,2036,2037,2049,4.50848497630958,40000,164666.666666667,162500,101000,289000,69409.992986866,300000,3e+05,300000,300000,300000,0,1,161000,161000,161000,161000,161000,0
ta46,30,1800000,2020,2030.1,2030.5,2031,2036,3.59453608344282,58000,858166.666666667,764000,764000,1754000,545659.997923005,1800000,1800000,1800000,1800000,1800000,0,1,991000,991000,991000,991000,991000,0
ta46,30,3088000,2010,2025.6,2027,2027,2033,5.11657212837145,204000,2029166.66666667,2404000,2404000,3088000,904662.02808423,3088000,3088000,3088000,3088000,3088000,0,1,2686000,2686000,2686000,2686000,2686000,0
ta46,30,NA,2007,2023.9,2024,2027,2033,5.70752679091089,3088000,3793000,3857000,3857000,4150000,238880.290320169,3088000,3793000,3857000,3857000,4150000,238880.290320169,1,3827000,3827000,3827000,3827000,3827000,0
ta47,30,180000,1915,1923.66666666667,1923,1922,1944,6.13263364324813,19000,112933.333333333,121500,130000,179000,45978.9557060194,180000,180000,180000,180000,180000,0,1,105000,105000,105000,105000,105000,0
ta47,30,300000,1912,1921.13333333333,1921.5,1923,1932,3.87506025166358,19000,159966.666666667,154000,93000,290000,72608.7689837346,300000,3e+05,300000,300000,300000,0,1,204000,204000,204000,204000,204000,0
ta47,30,1800000,1909,1914.6,1915.5,1916.5,1919,2.58109840291246,105000,1080000,1164000,1164000,1777000,492160.332720393,1800000,1800000,1800000,1800000,1800000,0,1,1616000,1616000,1616000,1616000,1616000,0
ta47,30,3600000,1900,1904.33333333333,1902,1902,1912,3.79049021789452,2258000,3140666.66666667,3256000,3256000,3599000,339699.393818887,3600000,3600000,3600000,3600000,3600000,0,2,3283000,3283000,3376000,3376000,3469000,131521.861300698
ta47,30,3795000,1900,1904.33333333333,1902,1902,1912,3.79049021789452,2258000,3172100,3273000,3273000,3795000,355336.494238814,3795000,3795000,3795000,3795000,3795000,0,2,3283000,3283000,3376000,3376000,3469000,131521.861300698
ta47,30,NA,1900,1904.16666666667,1902,1902,1912,3.89591592819201,3795000,3999333.33333333,3960000,3960000,4443000,144174.543004563,3795000,3999333.33333333,3960000,3960000,4443000,144174.543004563,2,3876000,3876000,3960500,3960500,4045000,119501.046020527
ta48,30,180000,1964,1974.86666666667,1975.5,1978,1988,6.6836565118067,36000,117200,124500,125000,178000,45707.7673924247,180000,180000,180000,180000,180000,0,2,122000,122000,127000,127000,132000,7071.06781186548
ta48,30,300000,1961,1971.43333333333,1971,1969,1984,5.56889968289616,68000,208866.666666667,225500,261500,297000,70475.5929056457,300000,3e+05,300000,300000,300000,0,1,227000,227000,227000,227000,227000,0
ta48,30,1800000,1954,1963.1,1964,1967,1969,4.13020831068545,122000,1129700,1208000,1208000,1794000,539435.218698607,1800000,1800000,1800000,1800000,1800000,0,1,402000,402000,402000,402000,402000,0
ta48,30,3600000,1937,1952.33333333333,1952,1953,1962,5.57910716706618,1909000,2788900,2862000,2862000,3355000,363588.944674691,3600000,3600000,3600000,3600000,3600000,0,1,3008000,3008000,3008000,3008000,3008000,0
ta48,30,3685000,1937,1952.33333333333,1952,1953,1962,5.57910716706618,1909000,2810800,2862000,2862000,3685000,396760.537526013,3685000,3685000,3685000,3685000,3685000,0,1,3008000,3008000,3008000,3008000,3008000,0
ta48,30,NA,1937,1952.23333333333,1952,1952,1962,5.55650183511876,3685000,3829366.66666667,3820500,3700000,4140000,111762.828726985,3685000,3829366.66666667,3820500,3700000,4140000,111762.828726985,1,4140000,4140000,4140000,4140000,4140000,0
ta49,30,180000,1986,1994.3,1994,1994,2004,4.06965219220479,15000,106300,108000,108000,180000,53034.243979553,180000,180000,180000,180000,180000,0,2,150000,150000,163000,163000,176000,18384.7763108502
ta49,30,300000,1984,1991.83333333333,1993.5,1994,2000,4.02649272669912,15000,157066.666666667,138000,278000,299000,91684.9678700567,300000,3e+05,300000,300000,300000,0,1,285000,285000,285000,285000,285000,0
ta49,30,1800000,1977,1984.46666666667,1985,1985,1994,3.61732739343073,49000,1114966.66666667,1220000,1220000,1707000,497540.258868971,1800000,1800000,1800000,1800000,1800000,0,1,1441000,1441000,1441000,1441000,1441000,0
ta49,30,2894000,1968,1981.6,1983,1985,1994,5.7989297466771,49000,1590233.33333333,1466000,1466000,2894000,811929.319300781,2894000,2894000,2894000,2894000,2894000,0,1,2824000,2824000,2824000,2824000,2824000,0
ta49,30,NA,1967,1974.5,1974,1972.5,1984,4.52388298272395,2894000,3927900,3992000,3992000,4220000,276974.086924366,2894000,3927900,3992000,3992000,4220000,276974.086924366,1,4139000,4139000,4139000,4139000,4139000,0
ta50,30,180000,1943,1955.23333333333,1955,1951,1968,6.66272872200186,20000,127533.333333333,150000,151000,176000,43849.0619042763,180000,180000,180000,180000,180000,0,1,125000,125000,125000,125000,125000,0
ta50,30,300000,1939,1952.06666666667,1951,1956.5,1962,6.59118184857007,61000,170700,165000,151000,282000,64418.968078322,300000,3e+05,300000,300000,300000,0,1,282000,282000,282000,282000,282000,0
ta50,30,1800000,1935,1942.63333333333,1943,1944,1950,3.70910653181704,252000,1063166.66666667,1095000,1095000,1785000,491137.3909423,1800000,1800000,1800000,1800000,1800000,0,2,573000,573000,1178500,1178500,1784000,856306.312016909
ta50,30,3003000,1925,1939.56666666667,1942,1943,1950,7.449523628988,252000,1431233.33333333,1310500,1310500,3003000,880469.376519425,3003000,3003000,3003000,3003000,3003000,0,1,2846000,2846000,2846000,2846000,2846000,0
ta50,30,NA,1924,1929.23333333333,1927,1924,1943,5.23043700510462,3003000,4106633.33333333,4110000,4110000,4341000,242602.340059404,3003000,4106633.33333333,4110000,4110000,4341000,242602.340059404,6,3997000,3997000,4158500,4158500,4290000,129094.409897047
