inst.id,n.runs,best.f.mean
ft06,5,55
ft10,5,1001
ft20,5,1182
la01,5,666
la02,5,655
la03,5,608
la04,5,603
la05,5,593
la06,5,926
la07,5,890
la08,5,863
la09,5,951
la10,5,958
la11,5,1222
la12,5,1053
la13,5,1168
la14,5,1292
la15,5,1223
la16,5,998
la17,5,797
la18,5,867
la19,5,866
la20,5,918
la21,5,1146
la22,5,951
la23,5,1045
la24,5,979
la25,5,1013
la26,5,1275
la31,5,1813
la36,5,1331
orb01,5,1126
orb02,5,945
abz5,5,1272
abz6,5,979
abz9,5,821
