inst.id,best.f.min,best.f.mean,best.f.sd,n.runs,budget.fes
ft06,55,55,0,30,20000000
ft10,946,965.23,10.64,30,20000000
ft20,1177,1201.87,19.95,30,20000000
la11,1222,1222,0,30,20000000
la20,907,912.63,4.21,30,20000000
la21,1083,1107.93,15.92,30,20000000
la31,1784,1785.8,6.73,30,20000000
la36,1319,1368.77,29.98,30,20000000
orb03,1024,1061.87,20.76,30,20000000
orb05,891,907.83,11.66,30,20000000
