inst.id,n.runs,best.f.min
ft06,1,59
ft10,1,994
ft20,1,1269
abz5,1,1381
abz6,1,1012
la01,1,666
la02,1,722
la03,1,681
la04,1,659
la05,1,593
la06,1,950
la07,1,976
la08,1,868
la09,1,951
la10,1,958
la11,1,1293
la12,1,1044
la13,1,1154
la14,1,1328
la15,1,1323
la36,1,1445
la37,1,1726
la38,1,1307
la39,1,1393
la40,1,1387
