inst.id,n.runs,budget.time,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd
ta17,18,180000,1473,1477.83333333333,1478,1478,1481,1.91741247211843,6000,95666.6666666667,89000,131000,180000,54578.5995552448,180000,180000,180000,180000,180000,0,1,47000,47000,47000,47000,47000,0
ta17,18,300000,1473,1477.22222222222,1478,1478,1480,1.83288764636107,34000,151055.555555556,169500,131000,252000,67599.5755488086,300000,300000,300000,300000,300000,0,1,47000,47000,47000,47000,47000,0
ta17,18,1800000,1465,1471.38888888889,1472,1472.5,1476,2.42872246468334,396000,1374000,1410000,1410000,1792000,297011.982329095,1800000,1800000,1800000,1800000,1800000,0,1,1604000,1604000,1604000,1604000,1604000,0
ta17,18,1801000,1465,1471.38888888889,1472,1472.5,1476,2.42872246468334,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,1,1801000,1801000,1801000,1801000,1801000,0
ta18,17,180000,1412,1417.35294117647,1418,1418,1424,2.54806731834611,6000,70529.4117647059,54000,33000,173000,48169.1260651712,180000,180000,180000,180000,180000,0,1,33000,33000,33000,33000,33000,0
ta18,17,300000,1412,1416.23529411765,1416,1418,1419,2.07754096724667,6000,125529.411764706,104000,33000,249000,80188.931317747,300000,300000,300000,300000,300000,0,2,33000,33000,141000,141000,249000,152735.064736294
ta18,17,1800000,1397,1407.64705882353,1411,1413,1413,5.84103133520302,883000,1171941.17647059,1216000,1216000,1333000,115283.059568739,1800000,1800000,1800000,1800000,1800000,0,1,1264000,1264000,1264000,1264000,1264000,0
ta18,17,1801000,1397,1407.64705882353,1411,1413,1413,5.84103133520302,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,1,1801000,1801000,1801000,1801000,1801000,0
ta19,20,180000,1340,1343.05,1343,1343,1345,1.27630222456166,6000,72250,56500,31500,167000,51203.284228548,180000,180000,180000,180000,180000,0,1,51000,51000,51000,51000,51000,0
ta19,20,300000,1340,1342.9,1343,1343,1344,1.11921024787453,6000,89800,59500,31500,221000,64344.9584987863,300000,300000,300000,300000,300000,0,1,51000,51000,51000,51000,51000,0
ta19,20,1800000,1335,1337.85,1337,1337,1341,2.13430624744781,62000,1118600,1265500,1265500,1456000,368324.285036119,1800000,1800000,1800000,1800000,1800000,0,3,597000,597000,861000,861000,1370000,392917.718273602
ta19,20,1801000,1335,1337.85,1337,1337,1341,2.13430624744781,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,3,1801000,1801000,1801000,1801000,1801000,0
ta20,20,180000,1355,1361.45,1363,1364,1365,3.37911542457957,6000,68050,53500,6000,174000,58076.6054901899,180000,180000,180000,180000,180000,0,2,111000,111000,123500,123500,136000,17677.6695296637
ta20,20,300000,1352,1360.25,1361.5,1364,1364,3.75394529304276,6000,108300,103000,103000,272000,83407.1182119431,300000,300000,300000,300000,300000,0,1,187000,187000,187000,187000,187000,0
ta20,20,1800000,1348,1354.15,1355,1355,1360,2.68082862288195,111000,994800,994500,994500,1763000,387698.689299062,1800000,1800000,1800000,1800000,1800000,0,1,1763000,1763000,1763000,1763000,1763000,0
ta20,20,1801000,1348,1354.15,1355,1355,1360,2.68082862288195,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,1,1801000,1801000,1801000,1801000,1801000,0
ta21,20,180000,1647,1653.2,1652.5,1649.5,1661,4.45562920124053,10000,94600,93500,73500,180000,49986.7350825249,180000,180000,180000,180000,180000,0,3,57000,57000,91000,91000,111000,27300.7936392577
ta21,20,300000,1647,1651,1651.5,1647,1656,3.35606285619576,10000,176950,181500,181500,299000,92031.7307980471,300000,300000,300000,300000,300000,0,6,57000,57000,160000,160000,286000,97229.1108670649
ta21,20,1800000,1647,1647,1647,1647,1647,0,57000,582850,672000,672000,1011000,336491.538174674,1800000,1800000,1800000,1800000,1800000,0,20,57000,57000,672000,672000,1011000,336491.538174674
ta21,20,1801000,1647,1647,1647,1647,1647,0,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,20,1801000,1801000,1801000,1801000,1801000,0
ta22,20,180000,1607,1615.9,1617,1618,1620,3.61138550464471,6000,84950,65000,7000,179000,65856.6825127029,180000,180000,180000,180000,180000,0,1,174000,174000,174000,174000,174000,0
ta22,20,300000,1607,1615.5,1616,1616,1619,3.36389498553154,6000,139650,152000,152000,274000,82968.7797972986,300000,300000,300000,300000,300000,0,1,174000,174000,174000,174000,174000,0
ta22,20,1800000,1600,1607.8,1606,1601,1617,7.30248695921285,42000,1101650,1146500,1146500,1616000,336480.745519358,1800000,1800000,1800000,1800000,1800000,0,1,1491000,1491000,1491000,1491000,1491000,0
ta22,20,1801000,1600,1607.8,1606,1601,1617,7.30248695921285,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,1,1801000,1801000,1801000,1801000,1801000,0
ta23,20,180000,1561,1567.25,1567,1567,1572,2.5105042479445,28000,90100,78000,43000,168000,46775.9497357799,180000,180000,180000,180000,180000,0,1,128000,128000,128000,128000,128000,0
ta23,20,300000,1561,1565.95,1566,1565,1572,2.41650029675366,28000,143950,141500,58000,254000,74962.0781321778,300000,300000,300000,300000,300000,0,2,128000,128000,191000,191000,254000,89095.454429505
ta23,20,1800000,1557,1561.3,1562,1564,1564,2.8302873203598,254000,1321500,1369500,1369500,1656000,294960.568283466,1800000,1800000,1800000,1800000,1800000,0,1,1338000,1338000,1338000,1338000,1338000,0
ta23,20,1801000,1557,1561.3,1562,1564,1564,2.8302873203598,1801000,1801000,1801000,1801000,1801000,0,1801000,1801000,1801000,1801000,1801000,0,1,1801000,1801000,1801000,1801000,1801000,0
ta24,20,180000,1654,1660.2,1659.5,1658.5,1671,3.98153633399814,14000,109900,114500,124000,176000,43007.8328239232,180000,180000,180000,180000,180000,0,1,106000,106000,106000,106000,106000,0
