inst.id,best.f.min,total.time.mean
ft06,55,6
ft10,930,7.3
ft20,1165,8.1
la01,666,6.3
la02,655,6.32
la03,597,6.31
la04,590,6.3
la05,593,6.45
la06,926,7.12
la07,890,7.24
la08,863,6.87
la09,951,6.43
la10,958,6.67
swv11,3200,18.65
swv12,3250,17.22
swv13,3754,19.87
swv14,3487,18.78
swv15,4235,20.35
swv16,3547,18.43
swv17,3269,17.78
swv18,3156,18.49
swv19,3169,20.88
swv20,3231,19.35
abz7,656,10.73
abz8,665,10.97
#abz9,661,11.02
