inst.id,n.runs,best.f.min,total.time.mean
ft06,1,55,999
ft10,1,930,30000
ft20,1,1165,3000
abz5,1,1238,4000
abz6,1,945,29000
la01,1,666,999
la02,1,655,8000
la03,1,597,11000
la04,1,593,999
la05,1,593,999
la06,1,926,999
la07,1,890,999
la08,1,863,999
la09,1,951,999
la10,1,958,999
la11,1,1222,999
la12,1,1039,999
la13,1,1150,999
la14,1,1292,999
la15,1,1207,999
la36,1,1275,623000
la37,1,1422,443000
la38,1,1209,165000
la39,1,1235,325000
la40,1,1234,322000
