inst.id,n.runs,best.f.mean,best.f.min
la16,10,959,NA
la17,10,792,NA
la18,10,857,NA
la19,10,860,NA
la20,10,907,NA
ft06,10,55,55
ft10,10,963,953
ft20,10,1222,1192
la21,10,1097,NA
la22,10,980,NA
la23,10,1032,NA
la24,10,1001,NA
la25,10,1031,NA
la26,10,1295,NA
la27,10,1306,NA
la28,10,1302,NA
la29,10,1280,NA
la30,10,1406,NA
la31,10,1784,NA
la32,10,1850,NA
la33,10,1719,NA
la34,10,1758,NA
la35,10,1888,NA
la36,10,1357,NA
la37,10,1494,NA
la38,10,1338,NA
la39,10,1343,NA
la40,10,1311,NA
