inst.id,n.runs,best.f.mean
ft06,5,55
ft10,5,1040
ft20,5,1238
la01,5,666
la02,5,665
la03,5,619
la04,5,607
la05,5,593
la06,5,926
la07,5,890
la08,5,863
la09,5,956
la10,5,958
la11,5,1222
la12,5,1103
la13,5,1173
la14,5,1292
la15,5,1231
la16,5,1033
la17,5,803
la18,5,870
la19,5,867
la20,5,1002
la21,5,1173
la22,5,977
la23,5,1082
la24,5,992
la25,5,1035
la26,5,1358
la31,5,1868
la36,5,1373
orb01,5,1137
orb02,5,992
abz5,5,1286
abz6,5,984
abz9,5,844
