inst.id,best.f.min
dmu12,3492
dmu16,3751
dmu17,3814
dmu19,3765
dmu42,3390
dmu43,3441
dmu44,3475
dmu48,3763
dmu49,3710
dmu51,4156
dmu53,4390
dmu54,4362
dmu55,4270
dmu58,4708
dmu59,4619
dmu60,4739
dmu61,5172
dmu62,5251
dmu63,5323
dmu64,5240
dmu65,5190
dmu67,5779
dmu68,5765
dmu70,5889
dmu72,6463
dmu73,6153
dmu74,6196
dmu75,6189
dmu76,6807
dmu77,6792
dmu79,6952
dmu80,6673
