inst.id,n.runs,budget.time,best.f.min,best.f.mean,best.f.med,best.f.mode,best.f.max,best.f.sd,last.improvement.time.min,last.improvement.time.mean,last.improvement.time.med,last.improvement.time.mode,last.improvement.time.max,last.improvement.time.sd,total.time.min,total.time.mean,total.time.med,total.time.mode,total.time.max,total.time.sd,reach.best.f.min.runs,reach.best.f.min.time.min,reach.best.f.min.time.mean,reach.best.f.min.time.med,reach.best.f.min.time.mode,reach.best.f.min.time.max,reach.best.f.min.time.sd
ta27,40,300000,1687,1691.375,1691,1691,1697,1.98310168869181,6000,141425,132000,117000,300000,92399.6024799974,300000,3e+05,300000,300000,300000,0,3,27000,27000,214000,214000,246000,118289.19364563
ta27,40,1151000,1687,1690.25,1690,1690,1694,1.86396324383261,6000,345375,219000,117000,1151000,345222.387447384,1151000,1151000,1151000,1151000,1151000,0,6,27000,27000,280500,280500,878000,350539.584070045
ta27,40,NA,1686,1689,1689,1690,1691,1.70970082853022,1151000,1744875,1801000,1801000,1939000,207400.169065035,1151000,1744875,1801000,1801000,1939000,207400.169065035,4,1152000,1152000,1849500,1849500,1931000,366877.363706185
ta28,39,180000,1616,1619.89743589744,1620,1622,1625,2.14960059686582,6000,71692.3076923077,64000,61500,172000,49752.6269320493,180000,180000,180000,180000,180000,0,1,66000,66000,66000,66000,66000,0
ta28,39,300000,1616,1618.89743589744,1619,1619,1622,1.66693655034857,6000,139871.794871795,150000,31000,295000,91156.077687257,300000,3e+05,300000,300000,300000,0,1,66000,66000,66000,66000,66000,0
ta28,39,1765000,1615,1617.46153846154,1617,1617,1622,1.66774593935006,20000,619461.538461538,523000,523000,1765000,525833.315902825,1765000,1765000,1765000,1765000,1765000,0,5,702000,702000,1133000,1133000,1646000,374479.371928548
ta28,39,NA,1615,1616.87179487179,1617,1617,1619,1.10452388360175,1765000,1815974.35897436,1801000,1801000,1891000,41082.3865315892,1765000,1815974.35897436,1801000,1801000,1891000,41082.3865315892,6,1770000,1770000,1801000,1801000,1891000,50897.6096360789
ta29,40,180000,1628,1630.6,1631,1629,1634,1.67638194044687,6000,84575,81000,28500,180000,54236.3713236696,180000,180000,180000,180000,180000,0,3,9000,9000,19000,19000,132000,68310.5653126464
ta29,40,300000,1628,1629.575,1629,1629,1634,1.39389695384871,6000,141350,141500,148500,298000,94615.429435053,300000,3e+05,300000,300000,300000,0,6,9000,9000,161000,161000,274000,116431.381794887
ta29,40,1709000,1625,1628.825,1629,1629,1632,0.984169570546531,6000,351875,231000,144000,1709000,412126.703662593,1709000,1709000,1709000,1709000,1709000,0,1,930000,930000,930000,930000,930000,0
ta29,40,NA,1625,1628.575,1629,1629,1629,0.747217059048663,1709000,1779475,1801000,1801000,1852000,42401.6131163874,1709000,1779475,1801000,1801000,1852000,42401.6131163874,1,1801000,1801000,1801000,1801000,1801000,0
ta30,40,180000,1589,1600.675,1601,1600,1610,4.41667876147352,12000,81450,79500,59000,174000,47670.3154422013,180000,180000,180000,180000,180000,0,1,23000,23000,23000,23000,23000,0
ta30,40,300000,1589,1599.05,1599,1598,1609,4.03160590259591,21000,156275,155000,171000,291000,90463.1919764282,300000,3e+05,300000,300000,300000,0,1,23000,23000,23000,23000,23000,0
ta30,40,1800000,1585,1592.05,1592,1592,1598,3.32781594658704,23000,937725,920000,716000,1795000,530556.601175861,1800000,1800000,1800000,1800000,1800000,0,1,940000,940000,940000,940000,940000,0
ta30,40,1801000,1585,1592.05,1592,1592,1598,3.32781594658704,23000,1453800,1801000,1801000,1801000,529063.769119443,1801000,1801000,1801000,1801000,1801000,0,1,1801000,1801000,1801000,1801000,1801000,0
ta30,40,NA,1585,1592.05,1592,1592,1598,3.32781594658704,1801000,1823975,1801000,1801000,1928000,43105.408965132,1801000,1823975,1801000,1801000,1928000,43105.408965132,1,1801000,1801000,1801000,1801000,1801000,0
ta31,40,180000,1764,1764.075,1764,1764,1766,0.349908412925293,6000,38600,33000,6000,152000,29931.3745004666,180000,180000,180000,180000,180000,0,38,6000,6000,33000,6000,152000,29836.2172158685
ta31,40,300000,1764,1764,1764,1764,1764,0,6000,46450,37000,6000,200000,45745.6457224521,300000,3e+05,300000,300000,300000,0,40,6000,6000,37000,6000,200000,45745.6457224521
ta31,40,1800000,1764,1764,1764,1764,1764,0,6000,46450,37000,6000,200000,45745.6457224521,1800000,1800000,1800000,1800000,1800000,0,40,6000,6000,37000,6000,200000,45745.6457224521
ta31,40,1801000,1764,1764,1764,1764,1764,0,6000,925725,1000500,1801000,1801000,887241.70636463,1801000,1801000,1801000,1801000,1801000,0,40,6000,6000,1000500,1801000,1801000,887241.70636463
ta31,40,NA,1764,1764,1764,1764,1764,0,1801000,2265600,2173000,1801000,2842000,474736.569327043,1801000,2265600,2173000,1801000,2842000,474736.569327043,40,1801000,1801000,2173000,1801000,2842000,474736.569327043
ta32,40,180000,1811,1817.6,1817,1818,1831,3.69198716557483,11000,105800,113000,158000,179000,51822.2801307383,180000,180000,180000,180000,180000,0,1,37000,37000,37000,37000,37000,0
ta32,40,300000,1809,1815,1815,1815,1823,2.7827306272059,12000,186600,194000,254000,295000,74388.7226082156,300000,3e+05,300000,300000,300000,0,2,268000,268000,281000,281000,294000,18384.7763108502
ta32,40,1800000,1803,1810.4,1811,1812,1814,2.36209381259237,167000,884250,832500,832500,1740000,530110.03937499,1800000,1800000,1800000,1800000,1800000,0,1,648000,648000,648000,648000,648000,0
ta32,40,1801000,1803,1810.4,1811,1812,1814,2.36209381259237,167000,1282850,1760500,1801000,1801000,642960.961051211,1801000,1801000,1801000,1801000,1801000,0,1,1801000,1801000,1801000,1801000,1801000,0
ta32,40,NA,1803,1810.275,1810,1812,1814,2.29813190579006,1801000,2168750,2123500,1801000,2619000,375005.897389525,1801000,2168750,2123500,1801000,2619000,375005.897389525,1,1801000,1801000,1801000,1801000,1801000,0
ta33,40,180000,1801,1809.325,1809.5,1810,1814,2.55591320425642,20000,91325,90500,83000,179000,47211.6823330619,180000,180000,180000,180000,180000,0,1,164000,164000,164000,164000,164000,0
ta33,40,300000,1801,1808.575,1808.5,1810,1814,2.47953159348231,20000,126950,116500,49000,293000,77473.8831097459,300000,3e+05,300000,300000,300000,0,1,164000,164000,164000,164000,164000,0
ta33,40,1800000,1799,1805.1,1805.5,1804,1808,1.93218356615859,98000,882950,885500,885500,1741000,514768.15543131,1800000,1800000,1800000,1800000,1800000,0,1,382000,382000,382000,382000,382000,0
ta33,40,1801000,1799,1805.1,1805.5,1804,1808,1.93218356615859,98000,1265350,1650000,1801000,1801000,666693.892392788,1801000,1801000,1801000,1801000,1801000,0,1,382000,382000,382000,382000,382000,0
ta33,40,NA,1799,1804.8,1805,1804,1808,1.88380411633427,1801000,2120675,2088500,1801000,2526000,326161.466030365,1801000,2120675,2088500,1801000,2526000,326161.466030365,1,2399000,2399000,2399000,2399000,2399000,0
ta34,40,180000,1831,1832.05,1832,1832,1833,0.316227766016838,11000,81200,79500,81000,173000,47448.3254682775,180000,180000,180000,180000,180000,0,1,81000,81000,81000,81000,81000,0
ta34,40,300000,1831,1831.975,1832,1832,1832,0.158113883008419,11000,88275,80500,81000,223000,56531.8097430156,300000,3e+05,300000,300000,300000,0,1,81000,81000,81000,81000,81000,0
ta34,40,1800000,1831,1831.95,1832,1832,1832,0.220721427863152,11000,110350,80500,81000,973000,150884.66473198,1800000,1800000,1800000,1800000,1800000,0,2,81000,81000,527000,527000,973000,630739.2488184
ta34,40,1801000,1831,1831.95,1832,1832,1832,0.220721427863152,15000,964450,1387000,1801000,1801000,859248.208968389,1801000,1801000,1801000,1801000,1801000,0,2,81000,81000,527000,527000,973000,630739.2488184
ta34,40,NA,1831,1831.925,1832,1832,1832,0.266746782836918,1801000,2037025,1976000,1801000,2391000,244186.297889384,1801000,2037025,1976000,1801000,2391000,244186.297889384,3,2151000,2151000,2211000,2211000,2251000,50332.2295684717
ta35,40,180000,2007,2007,2007,2007,2007,0,6000,6025,6000,6000,7000,158.113883008419,180000,180000,180000,180000,180000,0,40,6000,6000,6000,6000,7000,158.113883008419
ta35,40,300000,2007,2007,2007,2007,2007,0,6000,6025,6000,6000,7000,158.113883008419,300000,3e+05,300000,300000,300000,0,40,6000,6000,6000,6000,7000,158.113883008419
ta35,40,1800000,2007,2007,2007,2007,2007,0,6000,6025,6000,6000,7000,158.113883008419,1800000,1800000,1800000,1800000,1800000,0,40,6000,6000,6000,6000,7000,158.113883008419
