inst.id,n.runs,budget.time,best.f.min,best.f.mean,reach.best.f.min.time.mean
dmu42,10,3600000,3390,3409.8,448950
dmu43,10,3600000,3441,3450.5,399330
dmu44,10,3600000,3489,3509.7,371270
dmu45,10,3600000,3273,3287.9,709190
dmu46,10,3600000,4035,4051.8,984860
dmu47,10,3600000,3942,3963.6,829280
dmu48,10,3600000,3778,3814.1,938550
dmu49,10,3600000,3710,3736.1,633840
dmu50,10,3600000,3729,3741.2,609620
dmu51,10,3600000,4167,4205.9,2394250
dmu52,10,3600000,4311,4353.2,2232600
dmu53,10,3600000,4394,4425.7,2161830
dmu54,10,3600000,4371,4390.5,1909530
dmu55,10,3600000,4271,4295.2,1914370
dmu56,10,7200000,4941,4990.6,3825440
dmu57,10,7200000,4663,4714,3649410
dmu58,10,7200000,4708,4779.4,3639680
dmu59,10,7200000,4624,4670.6,3614540
dmu60,10,7200000,4755,4804.3,3745910
dmu61,10,7200000,5195,5217.1,4739130
dmu62,10,7200000,5268,5301,4853750
dmu63,10,7200000,5326,5347.5,4122650
dmu64,10,7200000,5252,5279.8,4487260
dmu65,10,7200000,5196,5203.2,4963800
dmu66,10,14400000,5717,5788.7,9543860
dmu67,10,14400000,5816,5852.5,8431510
dmu68,10,14400000,5773,5801.8,8739450
dmu69,10,14400000,5709,5754.4,8107630
dmu70,10,14400000,5903,5924.2,7285270
dmu71,10,18000000,6223,6264.8,9835110
dmu72,10,18000000,6483,6510.9,10881790
dmu73,10,18000000,6163,6199.8,11475150
dmu74,10,18000000,6227,6266.4,11164430
dmu75,10,18000000,6197,6239.4,11330860
dmu76,10,18000000,6813,6854.8,9998170
dmu77,10,18000000,6822,6879.9,12062880
dmu78,10,18000000,6770,6813.2,10346610
dmu79,10,18000000,6970,7003,9818930
dmu80,10,18000000,6686,6700.1,10331980
